sample,stage,method,raw_events,retained_events,retention_pct_raw,zombie_low_events,zombie_low_frequency_pct,zombie_low_recovery_pct,zombie_high_events,zombie_high_carryover_pct,zombie_low_selectivity_ratio,zombie_low_threshold_raw_upper_exclusive,retention_relative_manual_pct,zombie_low_recovery_relative_manual_pct,zombie_high_carryover_relative_manual_pct,zombie_low_selectivity_relative_manual_pct,zombie_low_frequency_minus_manual_pp
trim_LB236_T.fcs,Official complete workflow,Manual,145520,56134,38.574766355140184,13275,23.648769016995047,25.86811645036829,42859,45.4969108936116,0.5685686333926582,12000.0,100.0,99.99999999999999,100.00000000000001,100.0,0.0
trim_LB236_T.fcs,Official complete workflow,FlowMOP,145520,77347,53.152144035184165,20870,26.98230054171461,40.66799173779181,56477,59.953079552451115,0.6783303216678407,12000.0,137.78993123597107,157.21280602636534,131.77395646188666,119.30491445161734,3.3335315247195645
trim_LB262_T.fcs,Time gate only,Manual,301872,277236,91.83892510733025,227875,82.19531373991833,96.3461400237615,49361,75.52750363399893,1.275643115263656,12000.0,100.0,100.0,100.0,100.0,0.0
trim_LB262_T.fcs,Time gate only,FlowMOP,301872,265872,88.07441564636667,208526,78.43097430342421,88.1653327244976,57346,87.74539055925331,1.0047859171013742,12000.0,95.90096524260919,91.50894130554032,116.17673872085248,78.76700819207575,-3.764339436494126
trim_LB262_T.fcs,Time gate only,FlowCut,301872,264000,87.45428525997774,207019,78.41628787878788,87.52816922250832,56981,87.18690230280774,1.0039141993887493,12000.0,95.22572826039908,90.84761382336809,115.43728854763881,78.69867264413178,-3.7790258611304495
trim_LB262_T.fcs,Time gate only,PeacoQC,301872,301872,100.0,236517,78.35009540467483,100.0,65355,100.0,1.0,12000.0,108.8862918235727,103.7924300603401,132.40209882295738,78.39183138563918,-3.8452183352435014
trim_LB262_T.fcs,Time gate + matched manual debris/singlet,Manual,301872,205138,67.95529230932316,172815,84.24328988290809,73.06662946003881,32323,49.45757784408232,1.477359641234055,12000.0,100.0,100.0,100.0,99.99999999999999,0.0
trim_LB262_T.fcs,Time gate + matched manual debris/singlet,FlowMOP,301872,185150,61.3339428632003,156211,84.36997029435592,66.0464152682471,28939,44.27970315966644,1.4915731261813778,12000.0,90.2563152609463,90.39203772820646,89.53067475172479,100.96208699294439,0.12668041144783615
trim_LB262_T.fcs,Time gate + matched manual debris/singlet,FlowCut,301872,183887,60.91555361212699,155096,84.3431020137367,65.5749903812411,28791,44.05324764746385,1.4885392992136472,12000.0,89.64063215981437,89.74683910540173,89.07279646072455,100.7567323262096,0.09981213082861018
trim_LB262_T.fcs,Time gate + matched manual debris/singlet,PeacoQC,301872,209658,69.45261567816823,176627,84.24529471806466,74.67835293023334,33031,50.5408920511055,1.4775828027475402,12000.0,102.20339478789889,102.2058270404768,102.19039074343347,100.0151054291221,0.002004835156569129
trim_LB262_T.fcs,Official complete workflow,Manual,301872,205138,67.95529230932316,172815,84.24328988290809,73.06662946003881,32323,49.45757784408232,1.477359641234055,12000.0,100.0,100.0,100.0,99.99999999999999,0.0
trim_LB262_T.fcs,Official complete workflow,FlowMOP,301872,158568,52.528223882970266,137885,86.95638464255083,58.29813501777885,20683,31.647157830311375,1.8421286148464617,12000.0,77.29820901051976,79.78763417527414,63.98849116728026,124.69060094992923,2.7130947596427433
