dataset,synthetic_bin_size,input_name,mix_method,algorithm,exclude_primary_5050,retained_target_purity,removed_nontarget_purity
largecut,5000,C3C1_1585_segment.fcs,Segment,flowmop,False,1.0,0.842859003676151
largecut,5000,C3C1_1585_segment.fcs,Segment,peacoqc,False,0.94656718723542,0.779661016949153
largecut,5000,C3C1_1585_segment.fcs,Segment,flowcut,False,1.0,0.701644578313253
largecut,5000,C3C1_3070_segment.fcs,Segment,flowmop,False,1.0,0.944024238804666
largecut,5000,C3C1_3070_segment.fcs,Segment,peacoqc,False,0.972244897959184,0.843589930327968
largecut,5000,C3C1_3070_segment.fcs,Segment,flowcut,False,0.702816919590518,0.5
largecut,5000,C3C1_4555_segment.fcs,Segment,flowmop,False,0.568091571272636,0.814814814814815
largecut,5000,C3C1_4555_segment.fcs,Segment,peacoqc,False,0.95129138576779,0.953001532313794
largecut,5000,C3C1_4555_segment.fcs,Segment,flowcut,False,0.547536446827562,0.383720930232558
largecut,5000,C3C1_9010_segment.fcs,Segment,flowmop,False,1.0,0.251256658854237
largecut,5000,C3C1_9010_segment.fcs,Segment,peacoqc,False,0.919380144032922,0.291378180543632
largecut,5000,C3C1_9010_segment.fcs,Segment,flowcut,False,1.0,0.711577771794949
largecut,5000,A05A1_2080_bimix.fcs,Bimix,flowmop,False,0.992830638777283,0.67764799154334
largecut,5000,A05A1_2080_bimix.fcs,Bimix,peacoqc,False,0.990308267916825,0.66175
largecut,5000,A05A1_2080_bimix.fcs,Bimix,flowcut,False,0.807522398763252,0.417363636363636
largecut,5000,A05A1_2575_bimix.fcs,Bimix,flowmop,False,0.987033573452343,0.857749287749288
largecut,5000,A05A1_2575_bimix.fcs,Bimix,peacoqc,False,0.978170539006262,0.741403361344538
largecut,5000,A05A1_2575_bimix.fcs,Bimix,flowcut,False,0.756048415113742,0.390129032258065
largecut,5000,A05A1_3070_bimix.fcs,Bimix,flowmop,False,0.873574967098925,0.854264859228363
largecut,5000,A05A1_3070_bimix.fcs,Bimix,peacoqc,False,0.989356717908825,0.672238805970149
largecut,5000,A05A1_3070_bimix.fcs,Bimix,flowcut,False,0.70291717576675,0.3754
largecut,5000,A05A1_4060_bimix.fcs,Bimix,flowmop,False,0.603469797947741,0.431968810916179
largecut,5000,A05A1_4060_bimix.fcs,Bimix,peacoqc,False,0.985589743589744,0.628575771393829
largecut,5000,A05A1_4060_bimix.fcs,Bimix,flowcut,False,0.608048369511349,0.608205128205128
largecut,5000,A05A3_1090_bimix.fcs,Bimix,flowmop,False,1.0,0.336404494382022
largecut,5000,A05A3_1090_bimix.fcs,Bimix,peacoqc,False,0.907790368271955,0.229411764705882
largecut,5000,A05A3_1090_bimix.fcs,Bimix,flowcut,False,1.0,0.604848484848485
largecut,5000,A05A3_2575_bimix.fcs,Bimix,flowmop,False,1.0,0.650065359477124
largecut,5000,A05A3_2575_bimix.fcs,Bimix,peacoqc,False,0.999249152542373,0.613462679189323
largecut,5000,A05A3_2575_bimix.fcs,Bimix,flowcut,False,0.75820315703157,0.671210526315789
largecut,5000,A05A3_6040_bimix.fcs,Bimix,flowmop,False,0.623453630452521,0.867979797979798
largecut,5000,A05A3_6040_bimix.fcs,Bimix,peacoqc,False,0.544173476829543,0.264702479338843
largecut,5000,A05A3_6040_bimix.fcs,Bimix,flowcut,False,0.597021902695149,0.25
largecut,5000,A05A3_8020_bimix.fcs,Bimix,flowmop,False,1.0,0.6930291005291
largecut,5000,A05A3_8020_bimix.fcs,Bimix,peacoqc,False,0.763433917452692,0.0
largecut,5000,A05A3_8020_bimix.fcs,Bimix,flowcut,False,1.0,0.595375
largecut,5000,A1A3_1090_bimix.fcs,Bimix,flowmop,False,1.0,0.337778110047847
largecut,5000,A1A3_1090_bimix.fcs,Bimix,peacoqc,False,0.898842720906818,0.0820181488203267
largecut,5000,A1A3_1090_bimix.fcs,Bimix,flowcut,False,0.999939386722366,0.571627848101266
largecut,5000,A1A3_1585_bimix.fcs,Bimix,flowmop,False,1.0,0.41902559690256
largecut,5000,A1A3_1585_bimix.fcs,Bimix,peacoqc,False,0.850241845466948,0.15327731092437
largecut,5000,A1A3_1585_bimix.fcs,Bimix,flowcut,False,0.976483443393986,0.690578680203046
largecut,5000,A1A3_9010_bimix.fcs,Bimix,flowmop,False,1.0,0.624805194805195
largecut,5000,A1A3_9010_bimix.fcs,Bimix,peacoqc,False,0.998741721854305,0.359245024897252
largecut,5000,A1A3_9010_bimix.fcs,Bimix,flowcut,False,1.0,0.514757201646091
largecut,5000,B05B1_3070_bimix.fcs,Bimix,flowmop,False,0.840856523310444,0.836845730027548
largecut,5000,B05B1_3070_bimix.fcs,Bimix,peacoqc,False,0.988429951690821,0.719571328179902
largecut,5000,B05B1_3070_bimix.fcs,Bimix,flowcut,False,0.716864355231144,0.570487804878049
largecut,5000,B05B1_7030_bimix.fcs,Bimix,flowmop,False,0.733803326102675,0.710087719298246
largecut,5000,B05B1_7030_bimix.fcs,Bimix,peacoqc,False,0.995730145175064,0.719757575757576
largecut,5000,B05B1_7030_bimix.fcs,Bimix,flowcut,False,0.697381284916201,0.242307692307692
largecut,5000,B05B3_7030_bimix.fcs,Bimix,flowmop,False,0.984431709646609,0.961777777777778
largecut,5000,B05B3_7030_bimix.fcs,Bimix,peacoqc,False,0.678739559605163,0.144444444444444
largecut,5000,B05B3_7030_bimix.fcs,Bimix,flowcut,False,0.700895316804408,0.328888888888889
largecut,5000,B1B05_4555_bimix.fcs,Bimix,flowmop,False,0.584180840796588,0.8775
largecut,5000,B1B05_4555_bimix.fcs,Bimix,peacoqc,False,0.998170886075949,0.72417171357321
largecut,5000,B1B05_4555_bimix.fcs,Bimix,flowcut,False,0.542881132598874,0.21944
largecut,5000,B1B05_7525_bimix.fcs,Bimix,flowmop,False,0.929283545482081,0.731786600496278
largecut,5000,B1B05_7525_bimix.fcs,Bimix,peacoqc,False,0.972998106443332,0.821645083932854
largecut,5000,B1B05_7525_bimix.fcs,Bimix,flowcut,False,0.770161056549517,0.512603773584906
largecut,5000,B1B3_2080_bimix.fcs,Bimix,flowmop,False,0.91552205951548,0.592072197153766
largecut,5000,B1B3_2080_bimix.fcs,Bimix,peacoqc,False,0.803732363281394,0.302543417366947
largecut,5000,B1B3_2080_bimix.fcs,Bimix,flowcut,False,0.80910969338712,0.607063063063063
largecut,5000,B3B05_3565_bimix.fcs,Bimix,flowmop,False,0.876931643610026,0.930424242424242
largecut,5000,B3B05_3565_bimix.fcs,Bimix,peacoqc,False,0.611506244260448,0.225621621621622
largecut,5000,B3B05_3565_bimix.fcs,Bimix,flowcut,False,0.64751944669572,0.193454545454545
largecut,5000,B3B05_6535_bimix.fcs,Bimix,flowmop,False,0.982144702842377,0.956893295561851
largecut,5000,B3B05_6535_bimix.fcs,Bimix,peacoqc,False,0.993936507936508,0.731747709654686
largecut,5000,B3B05_6535_bimix.fcs,Bimix,flowcut,False,0.666048848085917,0.78093023255814
largecut,5000,B3B05_7525_bimix.fcs,Bimix,flowmop,False,1.0,0.710629236919868
largecut,5000,B3B05_7525_bimix.fcs,Bimix,peacoqc,False,0.747507142857143,0.222363002850808
largecut,5000,B3B05_7525_bimix.fcs,Bimix,flowcut,False,0.998925862068965,0.679990350480093
largecut,5000,B3B1_1585_bimix.fcs,Bimix,flowmop,False,0.99994874715262,0.643942520541778
largecut,5000,B3B1_1585_bimix.fcs,Bimix,peacoqc,False,0.965006896551724,0.348735489714681
largecut,5000,B3B1_1585_bimix.fcs,Bimix,flowcut,False,0.998959923664122,0.629678339212626
largecut,5000,B3B1_2575_bimix.fcs,Bimix,flowmop,False,0.904350807313022,0.801384615384615
largecut,5000,B3B1_2575_bimix.fcs,Bimix,peacoqc,False,0.926247213779129,0.59871955228428
largecut,5000,B3B1_2575_bimix.fcs,Bimix,flowcut,False,0.746898113041663,0.1
largecut,5000,B3B1_6040_bimix.fcs,Bimix,flowmop,False,0.596991304347826,0.201164443221932
largecut,5000,B3B1_6040_bimix.fcs,Bimix,peacoqc,False,0.605319645732689,0.43034701099336
largecut,5000,B3B1_6040_bimix.fcs,Bimix,flowcut,False,0.600565475631008,0.434782608695652
largecut,5000,C05C1_7030_bimix.fcs,Bimix,flowmop,False,0.912089201877934,0.974835722819594
largecut,5000,C05C1_7030_bimix.fcs,Bimix,peacoqc,False,0.998202898550725,0.778801414479806
largecut,5000,C05C1_7030_bimix.fcs,Bimix,flowcut,False,0.697358264002058,0.210736842105263
largecut,5000,C05C1_7525_bimix.fcs,Bimix,flowmop,False,0.887773070853061,0.825920138888889
largecut,5000,C05C1_7525_bimix.fcs,Bimix,peacoqc,False,0.991678839224851,0.783720430107527
largecut,5000,C05C1_7525_bimix.fcs,Bimix,flowcut,False,0.745650358410467,0.136363636363636
largecut,5000,C05C3_8515_bimix.fcs,Bimix,flowmop,False,1.0,0.705765306122449
largecut,5000,C05C3_8515_bimix.fcs,Bimix,peacoqc,False,0.871814702920443,0.340152553692573
largecut,5000,C05C3_8515_bimix.fcs,Bimix,flowcut,False,1.0,0.576375
largecut,5000,C1C05_2080_bimix.fcs,Bimix,flowmop,False,0.969556025369979,0.897391304347826
largecut,5000,C1C05_2080_bimix.fcs,Bimix,peacoqc,False,0.997211660329531,0.602067183462532
largecut,5000,C1C05_2080_bimix.fcs,Bimix,flowcut,False,0.79825479930192,0.133333333333333
largecut,5000,C1C05_3070_bimix.fcs,Bimix,flowmop,False,0.732305492090622,0.580484848484848
largecut,5000,C1C05_3070_bimix.fcs,Bimix,peacoqc,False,0.702872915906531,0.5
largecut,5000,C1C05_3070_bimix.fcs,Bimix,flowcut,False,0.692124042653951,0.120962962962963
largecut,5000,C1C3_1090_bimix.fcs,Bimix,flowmop,False,1.0,0.358189424364123
largecut,5000,C1C3_1090_bimix.fcs,Bimix,peacoqc,False,0.899153859925185,0.0
largecut,5000,C1C3_1090_bimix.fcs,Bimix,flowcut,False,0.999917570548241,0.560705111402359
largecut,5000,C1C3_3070_bimix.fcs,Bimix,flowmop,False,0.728637392428926,0.923733031674208
largecut,5000,C1C3_3070_bimix.fcs,Bimix,peacoqc,False,0.696597014925373,0.0
largecut,5000,C1C3_3070_bimix.fcs,Bimix,flowcut,False,0.709229663639692,0.737566265060241
largecut,5000,C3C05_6535_bimix.fcs,Bimix,flowmop,False,0.971348207927842,0.971018148628877
largecut,5000,C3C05_6535_bimix.fcs,Bimix,peacoqc,False,1.0,0.636959807362246
largecut,5000,C3C05_6535_bimix.fcs,Bimix,flowcut,False,0.719804770743109,0.900291666666667
largecut,5000,C3C05_9010_bimix.fcs,Bimix,flowmop,False,1.0,0.364781867757328
largecut,5000,C3C05_9010_bimix.fcs,Bimix,peacoqc,False,0.902628634286039,0.275873015873016
largecut,5000,C3C05_9010_bimix.fcs,Bimix,flowcut,False,1.0,0.573871313672922
largecut,5000,C3C1_4060_bimix.fcs,Bimix,flowmop,False,0.607364622533415,1.0
